,edge,flow,density
529,-170301674#3,46.16,1.06
530,-170301685#0,5.77,0.15
531,-170301685#1,10.72,0.46
532,-171004421#0,103.05,3.85
533,-171004421#1,109.64,2.34
534,-171004421#2,108.82,2.74
535,-171004421#3,97.28,1.97
536,-171004421#5,110.46,3.02
537,-171004421#7,112.94,2.99
538,-171004421#8,115.41,3.29
539,-171004796#0,46.99,1.73
540,-171004796#1,45.34,0.93
541,-171004796#2,43.69,0.9
542,-171004796#5,42.87,0.88
543,-171004796#6,41.22,0.87
544,-171004796#9,42.04,28.53
545,-171294543#0,0.82,0.03
546,-171294543#1,3.3,0.08
547,-171294543#2,0.0,0.07
548,-171294549#0,1.65,0.05
549,-171294549#1,2.47,0.07
550,-171294549#2,5.77,0.15
551,-171294549#3,2.47,0.17
552,-171294549#4,0.82,0.14
553,-171294553#0,0.82,0.18
554,-171294553#1,3.3,0.18
555,-171294553#2,3.3,0.17
556,-171294553#3,4.95,0.22
557,-171294553#4,5.77,0.32
558,-171294553#5,5.77,0.26
559,-171294553#6,9.89,0.36
560,-171294557,2.47,0.06
561,-171294567,0.0,0
562,-171294569,0.0,0
563,-171488544#0,18.96,0.96
564,-171488544#1,20.61,1.62
565,-171488544#2,21.43,3.71
566,-171488544#3,28.03,15.62
567,-171488545#0,13.19,0.55
568,-171488545#1,9.07,0.25
569,-171488545#2,10.72,0.29
570,-171488545#3,15.66,0.67
571,-171488547#0,19.78,0.57
572,-171488547#10,51.11,1.39
573,-171488547#11,164.05,6.61
574,-171488547#13,165.7,3.64
575,-171488547#14,165.7,5.69
576,-171488547#2,24.73,1.03
577,-171488547#5,26.38,0.68
578,-171488547#6,32.15,1.22
579,-171488547#7,35.45,0.88
580,-171488547#8,37.1,0.83
581,-171488547#9,42.04,0.98
582,-171488548#0,2.47,0.07
583,-171488548#1,1.65,0.07
584,-171488549#0,0.82,0.14
585,-171488555,0.0,0
586,-171702737#0,6.59,0.19
587,-171702737#1,8.24,0.32
588,-171702737#2,9.07,0.45
589,-171702737#3,8.24,0.29
590,-171702737#4,4.12,4.26
591,-171702737#5,2.47,0.1
592,-171702737#6,3.3,0.18
593,-171702739#0,3.3,0.28
594,-171702739#1,0.0,0.08
595,-171702739#2,4.12,1.91
596,-171702739#3,0.82,0.08
597,-171702740#0,5.77,0.2
598,-171702740#1,1.65,0.07
599,-171702740#2,0.0,0
600,-171702741#0,1.65,0.04
601,-171702741#1,3.3,0.21
602,-171702741#2,0.0,0
603,-171702741#3,3.3,0.13
604,-171702741#4,0.82,0.02
605,-171702752#0,0.0,0
606,-171702758#0,0.0,0
607,-171702759,0.82,0.05
608,-201532648,0.0,0
609,-201532649,0.0,0
610,-201532651#0,0.0,0
611,-201532651#1,0.0,0
612,-201538332#0,0.0,0
613,-201538332#1,0.0,0
614,-201538332#2,0.0,0
615,-201538333,0.0,0
616,-201538334,0.0,0
617,-201552842,0.0,0
618,-201552844,0.0,0
619,-201552845,0.0,0
620,-201552846,0.0,0
621,-201552849,0.0,0
622,-201552850,0.0,0
623,-201552852,0.0,0
624,-201552853#0,0.0,0
625,-201552853#1,0.0,0
626,-201552856#0,0.0,0
627,-201552856#1,0.0,0
628,-201552858,0.0,0
629,-201552859,0.0,0
630,-201552861#0,0.0,0
631,-201552861#1,0.0,0
632,-201552862#0,0.0,0
633,-201552862#1,0.0,0
634,-201552864#0,0.0,0
635,-201552865#0,0.0,0
636,-201552865#1,0.0,0
637,-201594213,0.0,0
638,-201594214,0.0,0
639,-201594215,0.0,0
640,-201594216,0.0,0
641,-201594217,0.0,0
642,-201594219,0.0,0
643,-201594220,0.0,0
644,-252994602#0,4.12,0.1
645,-252994602#1,4.95,0.14
646,-252994602#2,6.59,0.26
647,-252994605#0,0.0,0
648,-252994605#1,0.0,0
649,-252994605#3,0.0,0
650,-252994606#0,12.37,0.31
651,-252994606#1,13.19,0.63
652,-252994606#3,11.54,6.05
653,-252994606#4,14.01,0.24
654,-252994606#5,16.49,0.33
655,-252994610#0,7.42,0.58
656,-252994613,0.0,0
657,-252994615#0,0.0,0
658,-252994615#1,0.0,0
659,-252994616,0.0,0
660,-252994617#0,0.0,0
661,-252994617#1,0.0,0
662,-252994617#2,0.0,0
663,-252994617#3,0.0,0
664,-252994618#0,0.0,0
665,-252994618#1,0.0,0
666,-252994619#0,0.0,0
667,-252994619#1,0.0,0
668,-252995526#1,0.0,0.15
669,-252995527#0,21.43,0.79
670,-252995527#1,18.14,2.46
671,-252995531#0,3.3,0.15
672,-252995531#1,0.0,0.05
673,-252995533#0,4.12,0.89
674,-252995533#1,4.12,0.16
675,-252995533#2,4.95,0.11
676,-252995533#3,5.77,0.18
677,-252995537#0,0.0,0
678,-252995542,0.0,0
679,-252995552,0.0,0
680,-252995558,0.0,0
681,-252997113#1,0.0,0.09
682,-252997119#0,0.0,0
683,-252997119#1,0.0,0
684,-252997119#2,0.0,0
685,-252997245#0,23.91,1.0
686,-252997245#1,20.61,0.64
687,-252997247#1,8.24,0.47
688,-252997247#10,9.07,0.24
689,-252997247#11,10.72,0.77
690,-252997247#12,13.19,0.49
691,-252997247#13,13.19,0.4
692,-252997247#14,13.19,0.36
693,-252997247#15,15.66,0.44
694,-252997247#16,15.66,0.56
695,-252997247#17,16.49,0.63
696,-252997247#18,18.14,0.57
697,-252997247#19,19.78,0.79
698,-252997247#2,6.59,0.39
699,-252997247#20,20.61,1.38
700,-252997247#3,6.59,0.28
701,-252997247#4,8.24,0.33
702,-252997247#5,7.42,0.25
703,-252997247#6,6.59,0.22
704,-252997247#7,6.59,0.23
705,-252997247#8,5.77,0.3
706,-252997247#9,7.42,0.28
707,-252997248#0,20.61,0.81
708,-252997248#1,0.0,0.06
709,-253128519,0.0,0
710,-253128522,0.0,0
711,-253128524,0.0,0
712,-253128527#0,0.0,0
713,-253128527#2,0.0,0
714,-253128528#0,0.0,0
715,-253128528#1,0.0,0
716,-253128529#0,0.0,0
717,-253128529#1,0.0,0
718,-253128530,0.0,0
719,-253128531,0.0,0
720,-253128534,0.0,0
721,-253128536#0,0.0,0
722,-253128536#1,0.0,0
723,-253128545,0.0,0
724,-253128546,0.0,0
725,-253129279#0,0.0,0
726,-253129279#1,0.0,0
727,-253129279#2,0.0,0
728,-253129279#3,0.0,0
729,-253129279#4,0.0,0
730,-253129279#5,0.0,0
731,-253129281,0.0,0
732,-253129282,0.0,0
733,-253129283,0.0,0
734,-253129285#1,0.0,0
735,-253129286#1,0.0,0
736,-253129288#0,0.0,0
737,-253129288#2,0.0,0
738,-253129289#1,0.0,0
739,-253129296#0,0.0,0
740,-253129296#1,0.0,0
741,-253129300#0,0.0,0
742,-253129300#1,0.0,0
743,-253130291#1,148.39,46.12
744,-253130291#2,143.44,16.22
745,-253130291#6,141.79,3.82
746,-253130294,158.28,3.36
747,-253132254#0,0.0,0
748,-253132254#1,0.0,0
749,-253260533,0.0,0
750,-253268317#0,0.0,0
751,-253268317#1,0.0,0
752,-253268317#2,0.0,0
753,-253268317#3,0.0,0
754,-253268317#4,0.0,0
755,-253268317#5,0.0,0
756,-253268317#6,0.0,0
757,-253268318#0,0.0,0
758,-253268318#1,0.0,0
759,-253268318#2,0.0,0
760,-253268318#3,0.0,0
761,-253268318#4,0.0,0
762,-253268319,0.0,0
763,-253268320,0.0,0
764,-253268321#0,0.0,0
765,-253268321#1,0.0,0
766,-253268321#2,0.0,0
767,-253268321#3,0.0,0
768,-253268322#0,0.0,0
769,-253268322#1,0.0,0
770,-253268322#2,0.0,0
771,-253268322#3,0.0,0
772,-253268323,0.0,0
773,-253268325#0,0.0,0
774,-253268325#1,0.0,0
775,-253268325#2,0.0,0
776,-253268325#3,0.0,0
777,-253268325#4,0.0,0
778,-253268326,0.0,0
779,-253268327,0.0,0
780,-253268328,0.0,0
781,-253268329,0.0,0
782,-253268330#0,0.0,0
783,-253268330#1,0.0,0
784,-253268330#3,0.0,0
785,-253272375#0,10.72,0.33
786,-253272375#1,9.89,0.22
787,-253272379,0.0,0
788,-253273630,0.0,0
789,-253275178#1,1.65,0.13
790,-253275179#0,0.0,0
791,-253275179#1,0.0,0
792,-253275181,0.0,0
793,-255973733#0,101.4,3.93
794,-255973733#1,101.4,2.39
795,-255973733#2,108.82,2.3
796,-255973733#3,105.52,2.16
797,-255973733#4,106.34,2.34
798,-255973733#5,39.57,1.71
799,-255973733#6,46.16,1.08
800,-255973733#7,45.34,1.08
801,-255973733#8,48.64,1.46
802,-255973733#9,51.11,1.24
803,-255973752#0,36.27,0.64
804,-255973752#1,32.97,0.68
805,-255973752#2,29.68,0.67
806,-255973752#4,0.0,0.14
807,-265149485#0,2.47,0.06
808,-265149485#1,1.65,0.12
809,-265149485#2,0.0,0.14
810,-265353020#0,13.19,0.66
811,-265353020#1,13.19,0.78
812,-267466899#0,3.3,0.48
813,-267466899#1,0.0,0
814,-267466899#2,0.82,0.04
815,-267466899#3,0.82,0.03
816,-282168226,10.72,0.87
817,-294774642#0,4.12,0.07
818,-294774642#1,4.95,0.1
819,-294774832,0.0,0
820,-314153597#1,64.3,3.05
821,-314153599#1,122.01,4.0
822,-314153599#2,105.52,2.24
823,-314153602#1,134.37,3.17
824,-314153602#2,130.25,3.39
825,-314153602#3,132.72,145.44
826,-314153605#0,59.35,1.57
827,-314153605#1,61.0,1.31
828,-314153605#2,46.16,0.73
829,-314153605#3,45.34,0.86
830,-321760061#0,80.79,1.61
831,-321760074#0,0.0,0
832,-321760074#1,0.0,0
833,-325021549,1.65,0.09
834,-339859630,0.0,0.18
835,-339859632#0,7.42,0.88
836,-339859633#0,5.77,0.22
837,-339859633#1,6.59,0.62
838,-339859633#2,5.77,0.42
839,-361221973#1,78.31,2.29
840,-361221973#2,56.88,1.17
841,-361221973#3,49.46,0.94
842,-361221973#4,45.34,1.1
843,-361221974#0,37.1,1.29
844,-361221974#1,38.75,1.39
845,-361221974#2,35.45,1.21
846,-361221974#3,32.97,1.26
847,-361221974#4,37.1,1.08
848,-361221974#5,42.04,1.56
849,-361221974#6,7.42,1.53
850,-361221974#7,5.77,0.2
851,-361221974#8,6.59,0.19
852,-361221974#9,9.07,0.26
