,edge,flow,density
587,-171702737#1,7.9,0.3
588,-171702737#2,8.69,0.41
589,-171702737#3,7.9,0.27
590,-171702737#4,3.95,3.91
591,-171702737#5,2.37,0.09
592,-171702737#6,3.16,0.16
593,-171702739#0,3.16,0.26
594,-171702739#1,0.0,0.07
595,-171702739#2,3.95,1.76
596,-171702739#3,0.79,0.07
597,-171702740#0,5.53,0.19
598,-171702740#1,1.58,0.07
599,-171702740#2,0.0,0
600,-171702741#0,1.58,0.04
601,-171702741#1,3.16,0.18
602,-171702741#2,0.0,0
603,-171702741#3,3.16,0.12
604,-171702741#4,0.79,0.02
605,-171702752#0,0.0,0
606,-171702758#0,0.0,0
607,-171702759,0.79,0.05
608,-201532648,0.0,0
609,-201532649,0.0,0
610,-201532651#0,0.0,0
611,-201532651#1,0.0,0
612,-201538332#0,0.0,0
613,-201538332#1,0.0,0
614,-201538332#2,0.0,0
615,-201538333,0.0,0
616,-201538334,0.0,0
617,-201552842,0.0,0
618,-201552844,0.0,0
619,-201552845,0.0,0
620,-201552846,0.0,0
621,-201552849,0.0,0
622,-201552850,0.0,0
623,-201552852,0.0,0
624,-201552853#0,0.0,0
625,-201552853#1,0.0,0
626,-201552856#0,0.0,0
627,-201552856#1,0.0,0
628,-201552858,0.0,0
629,-201552859,0.0,0
630,-201552861#0,0.0,0
631,-201552861#1,0.0,0
632,-201552862#0,0.0,0
633,-201552862#1,0.0,0
634,-201552864#0,0.0,0
635,-201552865#0,0.0,0
636,-201552865#1,0.0,0
637,-201594213,0.0,0
638,-201594214,0.0,0
639,-201594215,0.0,0
640,-201594216,0.0,0
641,-201594217,0.0,0
642,-201594219,0.0,0
643,-201594220,0.0,0
644,-252994602#0,3.95,0.1
645,-252994602#1,4.74,0.13
646,-252994602#2,6.32,0.23
647,-252994605#0,0.0,0
648,-252994605#1,0.0,0
649,-252994605#3,0.0,0
650,-252994606#0,11.84,0.29
651,-252994606#1,12.63,0.57
652,-252994606#3,11.06,5.5
653,-252994606#4,13.42,0.22
654,-252994606#5,15.79,0.3
655,-252994610#0,7.11,0.47
656,-252994613,0.0,0
657,-252994615#0,0.0,0
658,-252994615#1,0.0,0
659,-252994616,0.0,0
660,-252994617#0,0.0,0
661,-252994617#1,0.0,0
662,-252994617#2,0.0,0
663,-252994617#3,0.0,0
664,-252994618#0,0.0,0
665,-252994618#1,0.0,0
666,-252994619#0,0.0,0
667,-252994619#1,0.0,0
668,-252995526#1,0.0,0.14
669,-252995527#0,20.53,3.42
670,-252995527#1,17.37,2.4
671,-252995531#0,3.16,0.49
672,-252995531#1,0.0,0.04
673,-252995533#0,3.95,0.83
674,-252995533#1,3.95,0.14
675,-252995533#2,4.74,0.1
676,-252995533#3,5.53,0.16
677,-252995537#0,0.0,0
678,-252995542,0.0,0
679,-252995552,0.0,0
680,-252995558,0.0,0
681,-252997113#1,0.0,0.09
682,-252997119#0,0.0,0
683,-252997119#1,0.0,0
684,-252997119#2,0.0,0
685,-252997245#0,22.9,0.91
686,-252997245#1,19.74,0.61
687,-252997247#1,7.9,0.45
688,-252997247#10,8.69,0.23
689,-252997247#11,10.27,0.7
690,-252997247#12,12.63,0.46
691,-252997247#13,12.63,0.39
692,-252997247#14,12.63,0.35
693,-252997247#15,15.0,0.42
694,-252997247#16,15.0,0.54
695,-252997247#17,15.79,0.6
696,-252997247#18,17.37,0.54
697,-252997247#19,18.95,0.74
698,-252997247#2,6.32,0.34
699,-252997247#20,19.74,1.3
700,-252997247#3,6.32,0.26
701,-252997247#4,7.9,0.3
702,-252997247#5,7.11,0.24
703,-252997247#6,6.32,0.2
704,-252997247#7,6.32,0.22
705,-252997247#8,5.53,0.28
706,-252997247#9,7.11,0.27
707,-252997248#0,19.74,0.77
708,-252997248#1,0.0,0.06
709,-253128519,0.0,0
710,-253128522,0.0,0
711,-253128524,0.0,0
712,-253128527#0,0.0,0
713,-253128527#2,0.0,0
714,-253128528#0,0.0,0
715,-253128528#1,0.0,0
716,-253128529#0,0.0,0
717,-253128529#1,0.0,0
718,-253128530,0.0,0
719,-253128531,0.0,0
720,-253128534,0.0,0
721,-253128536#0,0.0,0
722,-253128536#1,0.0,0
723,-253128545,0.0,0
724,-253128546,0.0,0
725,-253129279#0,0.0,0
726,-253129279#1,0.0,0
727,-253129279#2,0.0,0
728,-253129279#3,0.0,0
729,-253129279#4,0.0,0
730,-253129279#5,0.0,0
731,-253129281,0.0,0
732,-253129282,0.0,0
733,-253129283,0.0,0
734,-253129285#1,0.0,0
735,-253129286#1,0.0,0
736,-253129288#0,0.0,0
737,-253129288#2,0.0,0
738,-253129289#1,0.0,0
739,-253129296#0,0.0,0
740,-253129296#1,0.0,0
741,-253129300#0,0.0,0
742,-253129300#1,0.0,0
743,-253130291#1,142.14,40.1
744,-253130291#2,137.4,16.57
745,-253130291#6,135.82,3.57
746,-253130294,151.61,3.19
747,-253132254#0,0.0,0
748,-253132254#1,0.0,0
