minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.78,4.82,10.98,9.0,1.83,5.31,4.38,481.98,97.65,0.86,223.25,10.54,63.09,51.31,0.0
1.4,2.2,7.84,9.0,1.0,4.89,4.53,542.86,148.19,0.95,281.26,10.38,64.11,50.2,0.0
3.43,2.23,4.5,9.0,1.16,3.38,4.57,553.23,152.97,0.94,296.84,10.02,62.77,49.62,0.0
4.05,5.13,5.97,9.0,1.95,6.59,4.33,517.13,105.76,0.91,257.1,10.33,63.49,50.87,0.0
4.06,1.5,14.32,9.0,0.63,2.66,5.08,768.8,343.45,1.06,492.53,9.8,69.17,45.04,56.0
1.43,2.68,5.82,9.0,1.7,4.05,4.29,489.15,93.08,0.89,238.33,10.05,61.08,50.24,0.0
4.83,5.08,11.93,9.0,1.46,7.17,4.72,604.99,183.6,1.05,335.84,10.67,66.31,51.42,0.0
1.38,4.79,7.1,9.0,1.86,6.41,4.22,480.36,101.96,0.88,222.79,10.48,62.8,51.57,0.0
3.68,5.8,14.36,9.0,1.45,4.77,4.26,484.41,101.53,0.88,221.92,10.84,64.13,53.02,0.0
2.53,5.19,9.06,9.0,1.54,7.66,4.23,482.25,96.57,0.86,218.43,10.79,64.46,52.26,0.0
2.98,2.7,6.82,9.0,0.53,4.08,4.59,451.28,101.19,0.8,187.59,10.75,64.58,51.58,69.0
3.22,5.3,5.24,9.0,0.87,2.7,4.27,497.52,124.37,0.87,230.26,10.81,65.38,52.27,0.0
4.96,1.89,10.09,9.0,1.53,6.76,5.44,757.84,304.08,1.17,489.3,9.88,66.8,46.79,0.0
2.39,5.35,4.71,9.0,1.78,3.36,4.35,517.7,104.26,0.96,261.33,10.27,62.29,51.18,0.0
3.4,5.41,4.75,9.0,1.18,2.37,4.24,477.03,98.25,0.86,217.89,10.56,63.29,52.3,0.0
3.58,1.7,11.32,9.0,1.01,2.25,5.25,660.27,241.43,1.07,400.15,9.67,64.16,47.18,0.0
4.86,4.51,8.64,9.0,0.71,4.83,4.46,467.17,117.67,0.85,201.4,11.09,64.94,53.87,8.0
1.64,2.7,14.86,9.0,0.88,4.18,4.55,524.81,146.4,0.93,260.27,10.68,64.69,51.78,3.0
4.46,1.78,5.56,9.0,1.21,7.49,4.95,679.21,253.45,1.07,414.06,9.99,66.04,47.41,0.0
2.1,3.06,4.04,9.0,0.62,5.5,4.18,438.72,84.14,0.78,175.25,10.86,64.54,52.35,38.0
2.35,2.1,14.0,9.0,1.13,5.09,4.75,589.98,181.18,1.02,326.59,10.33,64.9,50.19,0.0
3.95,3.72,8.32,9.0,0.62,6.32,4.28,455.27,107.01,0.82,187.19,11.11,65.44,53.31,33.0
4.3,3.28,13.95,9.0,1.68,5.26,4.52,580.2,153.44,0.97,314.54,10.36,65.21,50.07,0.0
1.51,4.88,10.98,9.0,0.59,6.57,4.62,421.76,78.54,0.77,154.94,11.32,65.17,54.19,90.0
1.41,2.93,5.42,9.0,0.52,4.77,4.1,419.53,72.66,0.75,158.5,10.88,63.87,52.52,98.0
