minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.03,1.75,8.79,9.0,1.17,3.78,4.98,626.75,208.62,1.03,367.17,9.92,63.96,48.28,0.0
4.72,4.55,10.17,9.0,1.17,2.09,4.29,482.15,103.01,0.86,221.34,10.57,63.71,52.36,0.0
2.91,4.32,8.79,9.0,1.64,6.79,4.4,477.48,92.53,0.88,219.07,10.61,63.14,52.64,0.0
1.42,4.55,9.79,9.0,1.03,3.38,4.26,499.12,124.76,0.89,235.14,10.86,64.55,52.6,0.0
1.36,4.55,8.79,9.0,1.68,3.09,4.17,482.72,100.04,0.86,223.63,10.44,63.21,50.94,0.0
1.36,3.72,8.79,9.0,1.92,2.56,4.52,521.18,112.89,0.93,267.53,10.03,61.65,49.65,0.0
1.36,4.94,8.79,9.0,1.12,3.54,4.81,486.79,117.01,0.88,224.07,10.83,64.25,52.29,0.0
4.38,4.82,13.91,9.0,1.6,4.69,4.46,601.88,166.75,0.99,331.88,10.56,66.89,50.17,0.0
1.76,5.66,4.83,9.0,1.16,3.78,4.85,487.55,110.05,0.88,223.09,10.81,64.56,52.67,0.0
1.48,4.55,10.84,9.0,1.0,3.38,4.18,463.72,92.63,0.81,194.25,10.92,66.39,51.68,0.0
1.42,5.66,12.0,9.0,0.6,5.87,4.59,422.68,77.62,0.76,153.69,11.38,65.93,53.59,95.0
1.61,4.86,10.69,9.0,1.02,3.78,4.47,504.92,128.68,0.91,237.68,10.96,65.38,52.81,0.0
3.41,4.55,14.73,9.0,1.03,3.38,4.33,502.07,125.59,0.89,234.22,10.88,65.51,52.42,0.0
1.76,5.66,9.79,9.0,0.98,3.78,4.26,530.12,148.75,0.93,259.24,10.99,66.93,51.83,0.0
2.34,5.66,12.0,9.0,0.97,3.78,4.34,500.33,126.77,0.89,231.24,11.03,65.83,52.63,0.0
1.76,3.86,6.09,9.0,0.97,2.45,4.47,499.9,121.73,0.88,238.27,10.59,64.01,51.56,0.0
4.71,4.55,12.79,9.0,0.97,6.76,4.65,573.19,188.81,1.02,303.77,10.98,66.14,52.75,0.0
3.4,5.66,9.35,9.0,1.17,3.87,4.21,491.08,109.82,0.86,221.56,10.92,65.96,52.17,0.0
4.9,4.5,8.79,9.0,1.92,3.78,4.71,630.25,178.05,1.06,366.75,10.12,64.81,49.47,0.0
4.72,5.13,11.72,9.0,1.15,3.87,4.41,524.5,137.32,0.93,255.98,10.87,65.74,52.95,0.0
1.42,4.55,12.0,9.0,0.63,3.78,4.09,432.09,81.71,0.78,164.58,11.2,65.32,53.76,81.0
1.52,4.91,11.3,9.0,0.98,3.39,4.27,491.78,118.25,0.87,222.64,10.99,65.91,52.49,0.0
3.57,3.6,7.05,9.0,1.03,3.38,4.41,509.02,129.4,0.9,245.97,10.61,64.32,51.51,0.0
4.72,5.43,8.79,9.0,1.11,3.87,4.61,497.29,122.91,0.89,231.98,10.9,64.84,53.34,0.0
4.93,4.55,12.0,9.0,1.17,7.1,4.43,543.37,152.49,0.96,274.44,10.88,66.14,52.15,0.0
1.76,5.66,8.79,9.0,0.99,3.87,4.83,476.2,110.03,0.87,209.42,11.04,65.17,53.76,1.0
3.57,5.66,7.05,9.0,0.97,3.38,4.21,482.0,114.43,0.87,216.77,10.98,64.77,53.34,0.0
1.76,3.92,12.0,9.0,1.03,3.78,4.41,485.89,116.84,0.9,224.85,10.84,63.76,53.46,0.0
3.57,5.66,6.29,9.0,1.03,2.62,4.24,515.94,133.24,0.9,248.21,10.76,65.53,51.82,0.0
3.35,3.6,7.05,9.0,0.97,3.71,4.38,497.3,123.54,0.89,234.42,10.72,64.34,52.08,0.0
3.68,5.66,3.85,9.0,0.97,3.78,4.15,449.2,88.74,0.82,186.78,10.92,64.09,53.86,0.0
1.76,5.66,10.35,9.0,0.97,3.78,4.18,474.1,108.84,0.85,206.55,11.1,65.44,53.17,0.0
1.76,5.66,7.56,9.0,1.22,2.43,4.35,506.84,124.54,0.91,244.89,10.69,63.93,52.21,0.0
